,customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
8483,8484,57,Female,India,64785,1,25,24.88,10,6,0.85,0,Excellent customer service.,2025-07-21
8767,8768,49,Female,South Africa,74942,100,41,62.18,14,3,0.99,0,Very satisfied with my purchase.,2025-08-09
6500,6501,25,Female,Germany,115387,42,15,60.89,2,17,0.25,0,Very satisfied with my purchase.,2025-07-29
8426,8427,61,Female,South Africa,53168,83,40,45.78,15,16,0.66,0,Very satisfied with my purchase.,2025-06-02
7963,7964,68,Male,Germany,88761,54,32,48.37,12,4,0.32,0,Very satisfied with my purchase.,2025-05-05
601,602,21,Male,UK,75664,47,10,39.58,0,11,0.41,1,The product did not match the description.,2024-11-22
9249,9250,26,Female,Brazil,73672,14,10,29.87,1,9,0.64,0,Good quality and value for money.,2025-06-05
8919,8920,59,Male,USA,92764,4,26,37.28,11,4,0.62,0,Love the products and fast shipping.,2025-09-17
6814,6815,54,Male,India,47684,44,11,41.21,1,30,0.77,0,The website is easy to use.,2025-05-16
5411,5412,26,Male,Germany,51442,69,12,53.61,2,9,0.81,0,Love the products and fast shipping.,2025-09-07
8747,8748,64,Male,UK,108142,5,13,34.14,3,25,0.38,1,Customer service was unhelpful.,2025-01-07
5522,5523,62,Male,France,61953,4,3,33.23,0,5,0.76,1,I will not be shopping here again.,2023-11-07
1044,1045,50,Female,USA,94808,61,38,52.38,13,24,0.29,0,Love the products and fast shipping.,2025-08-10
7334,7335,20,Female,India,71474,21,11,33.73,2,18,0.38,0,Love the products and fast shipping.,2025-10-07
1557,1558,22,Female,USA,101518,63,18,62.24,3,30,0.5,0,Love the products and fast shipping.,2025-09-09
3739,3740,21,Male,Brazil,73013,28,10,41.73,1,9,0.95,0,Very satisfied with my purchase.,2025-08-30
3522,3523,52,Male,Germany,169456,39,33,63.76,10,8,0.3,0,Excellent customer service.,2025-06-12
180,181,59,Male,USA,126954,89,21,59.14,2,10,0.89,0,Excellent customer service.,2025-09-09
2115,2116,49,Male,Brazil,84236,22,34,40.48,14,3,0.93,0,Love the products and fast shipping.,2025-08-08
1699,1700,41,Female,Brazil,24374,74,37,42.39,13,19,0.62,0,Excellent customer service.,2025-07-05
1379,1380,68,Male,India,24013,18,29,23.82,13,18,0.25,0,"Great experience, will shop again!",2025-06-20
7229,7230,28,Male,USA,123854,44,22,62.93,6,10,0.69,0,Good quality and value for money.,2025-10-22
9143,9144,43,Female,UK,119044,86,43,62.9,14,20,0.13,0,Good quality and value for money.,2025-08-02
618,619,31,Female,Brazil,29064,17,13,32.57,4,18,0.21,1,Customer service was unhelpful.,2024-06-08
3181,3182,20,Female,Germany,93822,35,11,36.42,1,16,0.46,0,Good quality and value for money.,2025-10-15
9851,9852,39,Male,Brazil,55369,20,29,44.16,12,20,0.16,0,Excellent customer service.,2025-06-12
1600,1601,69,Male,India,41287,81,24,36.0,6,3,0.56,0,The website is easy to use.,2025-10-17
5963,5964,66,Female,USA,169744,29,16,53.34,2,10,0.84,0,"Great experience, will shop again!",2025-07-15
1615,1616,40,Female,UK,69576,63,20,38.72,4,7,0.2,0,Good quality and value for money.,2025-06-24
5920,5921,63,Female,Germany,69888,27,29,41.23,11,1,0.38,0,Love the products and fast shipping.,2025-05-07
9591,9592,34,Female,India,56983,15,26,43.16,11,16,0.95,0,Very satisfied with my purchase.,2025-07-18
3891,3892,55,Female,Canada,63922,92,34,52.11,11,11,0.17,0,"Great experience, will shop again!",2025-10-07
2083,2084,28,Male,Brazil,23635,45,7,43.25,1,13,0.77,0,"Great experience, will shop again!",2025-10-19
4574,4575,18,Female,USA,57700,51,8,48.48,0,24,0.49,0,Good quality and value for money.,2025-05-14
5594,5595,22,Male,India,72717,26,11,34.39,3,15,0.82,1,Difficult to navigate the website.,2024-10-18
5121,5122,60,Female,UK,53017,68,27,37.78,9,20,0.67,0,Good quality and value for money.,2025-08-11
4587,4588,62,Female,USA,168758,48,44,61.73,14,12,0.24,0,Good quality and value for money.,2025-08-31
4902,4903,24,Male,UK,103133,26,14,53.66,3,15,0.42,0,Love the products and fast shipping.,2025-08-23
8252,8253,41,Male,Canada,58028,71,21,48.67,5,12,0.65,0,Good quality and value for money.,2025-10-19
5916,5917,60,Male,India,61700,4,23,23.37,9,21,0.47,0,"Great experience, will shop again!",2025-06-03
5129,5130,27,Male,South Africa,72560,26,15,37.09,4,2,0.4,0,Excellent customer service.,2025-07-06
8334,8335,68,Male,USA,48106,24,23,32.94,8,17,0.18,0,The website is easy to use.,2025-06-12
1918,1919,29,Male,USA,75026,2,12,39.35,4,22,0.48,0,Love the products and fast shipping.,2025-08-14
8330,8331,26,Female,Canada,72178,33,15,41.32,3,13,0.86,0,Very satisfied with my purchase.,2025-08-29
5707,5708,19,Female,Australia,148402,63,15,59.66,1,13,0.64,0,The website is easy to use.,2025-08-19
5384,5385,32,Male,Australia,133173,21,25,54.43,7,9,0.78,1,Difficult to navigate the website.,2024-11-14
6336,6337,63,Male,Germany,51679,83,37,42.69,13,23,0.44,0,Excellent customer service.,2025-08-10
2054,2055,60,Male,India,80461,97,13,47.43,0,30,0.0,0,Good quality and value for money.,2025-06-25
7612,7613,55,Male,Germany,51597,12,7,23.08,1,3,0.61,0,"Great experience, will shop again!",2025-05-03
9209,9210,39,Male,Australia,122997,6,27,40.71,9,12,0.69,0,The website is easy to use.,2025-09-26
3963,3964,53,Female,India,40834,54,23,48.47,7,15,0.87,0,"Great experience, will shop again!",2025-06-24
1126,1127,62,Female,USA,170528,57,41,58.95,13,10,0.23,0,Good quality and value for money.,2025-05-16
3428,3429,53,Male,India,91942,51,37,55.72,14,24,0.68,0,Very satisfied with my purchase.,2025-06-28
4601,4602,48,Male,USA,66547,98,38,58.87,11,5,0.78,0,Love the products and fast shipping.,2025-05-30
3721,3722,24,Female,India,35218,37,7,31.94,0,19,0.66,0,Good quality and value for money.,2025-09-02
2389,2390,43,Male,India,32588,30,16,33.39,5,25,0.26,0,Excellent customer service.,2025-08-03
1322,1323,68,Male,Germany,89486,97,40,61.85,13,2,0.6,0,Very satisfied with my purchase.,2025-09-25
1603,1604,59,Female,South Africa,27643,55,27,35.77,10,28,0.76,0,"Great experience, will shop again!",2025-07-06
7224,7225,38,Female,Germany,82616,49,26,38.69,9,14,0.28,0,Very satisfied with my purchase.,2025-08-26
7425,7426,66,Male,USA,154683,12,18,52.97,4,14,0.87,1,Difficult to navigate the website.,2024-06-23
4336,4337,70,Male,France,30200,54,15,43.81,4,23,0.54,0,Excellent customer service.,2025-08-28
5593,5594,30,Female,Brazil,45004,38,8,43.88,1,17,0.21,0,Good quality and value for money.,2025-08-12
4411,4412,50,Male,France,37358,90,29,47.35,8,23,0.13,0,The website is easy to use.,2025-09-05
5858,5859,37,Female,France,51965,83,33,39.68,10,18,0.4,0,Very satisfied with my purchase.,2025-10-27
9343,9344,19,Female,Australia,69134,34,8,41.25,0,3,0.67,1,The product did not match the description.,2023-12-12
3991,3992,39,Female,USA,93802,21,21,47.44,8,21,0.68,0,"Great experience, will shop again!",2025-08-25
6079,6080,39,Female,USA,136442,33,17,51.06,3,7,0.55,0,"Great experience, will shop again!",2025-09-03
1559,1560,43,Male,USA,84527,6,30,30.56,13,27,0.57,1,The product did not match the description.,2024-11-12
4682,4683,30,Male,USA,70597,81,19,54.26,3,5,0.18,0,Good quality and value for money.,2025-07-31
7557,7558,54,Female,USA,100066,44,9,51.83,0,30,0.57,0,Love the products and fast shipping.,2025-08-10
3772,3773,31,Male,Germany,60586,44,18,41.13,4,10,0.15,1,Shipping was too slow.,2024-09-28
8779,8780,51,Female,USA,52426,89,35,46.65,11,5,0.54,0,Excellent customer service.,2025-08-07
3457,3458,33,Male,Canada,106015,70,15,54.43,2,10,0.51,0,"Great experience, will shop again!",2025-07-17
8383,8384,65,Male,USA,128422,36,25,52.14,8,30,0.18,0,The website is easy to use.,2025-05-29
1354,1355,51,Male,UK,74720,25,19,31.22,7,29,0.47,0,Excellent customer service.,2025-09-20
45,46,64,Male,USA,165148,15,16,59.24,3,17,0.09,0,Excellent customer service.,2025-09-04
9872,9873,60,Male,USA,65018,79,21,42.65,4,9,0.93,0,Love the products and fast shipping.,2025-07-02
748,749,68,Female,France,88334,14,10,35.41,1,6,0.4,1,The product did not match the description.,2023-11-23
7917,7918,43,Male,Brazil,75599,78,40,53.91,15,15,0.22,0,Good quality and value for money.,2025-05-15
4241,4242,58,Male,France,35206,69,8,33.96,0,14,0.8,0,Love the products and fast shipping.,2025-07-25
5628,5629,21,Male,Germany,128551,23,14,49.16,3,1,0.38,1,Shipping was too slow.,2024-03-02
4657,4658,30,Female,UK,97279,79,34,55.12,11,11,0.6,0,Good quality and value for money.,2025-10-24
4238,4239,25,Male,South Africa,71222,71,22,51.34,5,23,0.59,0,Good quality and value for money.,2025-07-15
3460,3461,37,Male,USA,46483,91,26,51.93,8,12,0.36,0,Excellent customer service.,2025-05-11
7381,7382,64,Female,Brazil,69879,63,22,53.27,6,27,0.51,0,Excellent customer service.,2025-09-10
5549,5550,58,Male,India,46904,72,12,40.54,0,14,0.08,0,"Great experience, will shop again!",2025-06-14
7075,7076,29,Male,UK,127648,36,20,47.14,5,16,0.94,1,Shipping was too slow.,2025-03-11
5838,5839,47,Female,Germany,64413,80,24,56.79,7,14,0.57,0,"Great experience, will shop again!",2025-06-21
8091,8092,67,Female,South Africa,77658,4,26,27.43,10,24,0.5,0,Very satisfied with my purchase.,2025-05-02
5474,5475,25,Male,India,22354,22,7,26.89,1,8,0.04,1,Customer service was unhelpful.,2025-01-28
3614,3615,53,Male,UK,102145,5,29,46.26,11,7,0.29,0,"Great experience, will shop again!",2025-09-06
7501,7502,56,Male,USA,147140,94,35,73.3,8,28,0.82,0,The website is easy to use.,2025-09-08
7053,7054,61,Female,UK,50940,23,32,43.36,13,27,0.25,0,The website is easy to use.,2025-08-23
7367,7368,62,Male,Canada,177592,100,38,82.02,9,28,0.15,0,Good quality and value for money.,2025-06-04
8019,8020,58,Male,USA,163773,86,26,77.08,5,23,0.2,0,Very satisfied with my purchase.,2025-05-30
9638,9639,27,Male,India,54105,59,28,43.96,9,2,0.37,0,Love the products and fast shipping.,2025-09-16
9055,9056,40,Male,USA,109797,88,42,59.49,14,24,0.01,0,Love the products and fast shipping.,2025-10-15
664,665,35,Male,India,36489,67,38,38.2,14,14,0.03,0,Love the products and fast shipping.,2025-10-22
2319,2320,65,Male,USA,159500,74,34,73.36,10,22,0.85,0,Excellent customer service.,2025-08-30
